Class	DIT	NOC	MHF (%)	AHF (%)	MIF (%)	AIF (%)	POF (%)
MemberMapData	0	0	0%	0%	0%	0%	0%
MemberMapTypeConverterOption	0	0	0%	100%	0%	0%	0%
MemberNameCollection	1	0	0%	100%	0%	0%	0%
MemberReferenceMap	0	0	0%	100%	0%	0%	0%
MemberReferenceMapCollection	1	0	0%	100%	0%	0%	0%
MemberReferenceMapData	0	0	0%	100%	0%	0%	0%
MemberTypesAttribute	1	0	0%	0%	0%	0%	0%
MissingFieldException	3	0	0%	0%	0%	0%	0%
ModeAttribute	1	0	0%	0%	0%	0%	0%
NameAttribute	1	0	0%	0%	0%	0%	0%
NameIndexAttribute	1	0	0%	0%	0%	0%	0%
NewLineAttribute	1	0	0%	0%	0%	0%	0%
NotSupportedTypeConverter	1	0	0%	0%	0%	0%	0%
NullableConverter	2	0	0%	0%	50%	0%	0%
NullableConverterFactory	1	0	0%	0%	0%	0%	0%
NullValuesAttribute	1	0	0%	0%	0%	0%	0%
NumberStylesAttribute	1	0	0%	0%	0%	0%	0%
ObjectCreator	0	0	0%	100%	0%	0%	0%
ObjectRecordCreator	1	0	0%	0%	67%	100%	0%
ObjectRecordWriter	1	0	0%	0%	80%	100%	0%
ObjectResolver	1	0	0%	100%	0%	0%	0%
OptionalAttribute	1	0	0%	0%	0%	0%	0%
ParameterMap	0	0	0%	0%	0%	0%	0%
ParameterMapData	0	0	0%	0%	0%	0%	0%
ParameterMapTypeConverterOption	0	0	0%	100%	0%	0%	0%
ParameterReferenceMap	0	0	0%	100%	0%	0%	0%
ParameterReferenceMapData	0	0	0%	100%	0%	0%	0%
ParserException	2	0	0%	0%	100%	100%	0%
PrimitiveRecordCreator	1	0	0%	0%	67%	100%	0%
PrimitiveRecordWriter	1	0	0%	0%	80%	100%	0%
ProcessFieldBufferSizeAttribute	1	0	0%	0%	0%	0%	0%
Program	0	0	0%	0%	0%	0%	0%
QuoteAttribute	1	0	0%	0%	0%	0%	0%
ReaderException	2	1	0%	0%	100%	100%	0%
RecordCreator	0	3	0%	100%	0%	0%	50%
RecordCreatorFactory	0	0	0%	100%	0%	0%	0%
RecordHydrator	0	0	0%	100%	0%	0%	0%
RecordManager	0	0	0%	100%	0%	0%	0%
RecordWriter	0	4	0%	100%	0%	0%	25%
RecordWriterFactory	0	0	0%	100%	0%	0%	0%
ReflectionExtensions	0	0	0%	0%	0%	0%	0%
ReflectionHelper	0	0	0%	0%	0%	0%	0%
SByteConverter	2	0	0%	0%	67%	0%	0%
SingleConverter	2	0	0%	100%	50%	0%	0%
StringConverter	2	0	0%	0%	67%	0%	0%
TimeSpanConverter	2	0	0%	0%	67%	0%	0%
TocItem	0	0	0%	0%	0%	0%	0%
TrimOptionsAttribute	1	0	0%	0%	0%	0%	0%
TypeConverter	1	0	0%	0%	0%	0%	0%
TypeConverter<T>	0	1	0%	0%	0%	0%	0%
TypeConverterAttribute	1	0	0%	0%	0%	0%	0%
TypeConverterCache	0	0	0%	100%	0%	0%	0%
TypeConverterException	2	0	0%	0%	100%	100%	0%
TypeConverterOptions	0	0	0%	100%	0%	0%	0%
TypeConverterOptionsCache	0	0	0%	100%	0%	0%	0%
UInt16Converter	2	0	0%	0%	67%	0%	0%
UInt32Converter	2	0	0%	0%	67%	0%	0%
UInt64Converter	2	0	0%	0%	67%	0%	0%
UriConverter	2	0	0%	0%	67%	0%	0%
UseNewObjectForNullReferenceMembersAttribute	1	0	0%	0%	0%	0%	0%
ValidationException	2	2	0%	0%	100%	100%	0%
WhiteSpaceCharsAttribute	1	0	0%	0%	0%	0%	0%
WriterException	2	0	0%	0%	100%	100%	0%
TOTAL	0,98	120	0%	24%	19%	9%	35%
